Facility Name,Opening Days and Hours,Phone,Latitude,Longitude,Formatted Address,Primary Type,Accessibility Options,Maps URI,Website URI
AL-MEDICO,Monday: 1:30 – 7:00 PM; Tuesday: 8:00 AM – 12:00 PM; Wednesday: Closed; Thursday: 8:00 AM – 12:00 PM; Friday: 8:00 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,+386 599 43590,46.06431980000001,14.5083821,"Dunajska c. 49, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=10991976645054032305,http://almedico.si/
ALERGOLOŠKA ORDINACIJA MARJETA TOMŠIČ,,+386 4 511 17 11,46.167888,14.308148399999999,"Kapucinski trg 9, 4220 Škofja Loka, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom; wheelchairAccessibleSeating,https://maps.google.com/?cid=14229269453591957080,https://www.ambulantadolenc.si/
ALVEOLA D.O.O. ALBERT KLOBUČAR DR. MED.,,+386 2 234 88 00,46.557032299999996,15.6475336,"Židovska ulica 2, 2000 Maribor, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=7070301310016144968,http://www.alveola.si/
AMBROŽIČ SELINA - ZASEBNA ZOBNA ORDINACIJA,,+386 5 368 00 80,45.886210999999996,13.9036466,"Industrijska cona Ajdovščina, Tovarniška cesta 2, 5270 Ajdovščina, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=311739414124709957,
AMBULANTA ARIA D.O.O.,Monday: 1:15 – 8:15 PM; Tuesday: 7:00 AM – 2:30 PM; Wednesday: 7:00 AM – 2:30 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 7:00 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,+386 31 315 042,46.2321897,15.262225299999999,"Gregorčičeva ulica 5, 3000 Celje, Slovenia",doctor,wheelchairAccessibleParking,https://maps.google.com/?cid=14057570508029727964,https://ambulantaaria.si/
AMBULANTA ZA MAKSILOFACIALNO IN ORALNO KIRURGIJO IN ZOBOZDRAVSTVO MARIJA CIGLER DR.DENT.MED.,,+386 2 882 12 02,46.506924,15.082021899999999,"Partizanska pot 16, 2380 Slovenj Gradec, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=10521891009009381462,

APEX-T.A ZOBOZDRAVSTVO D.O.O.,,+386 3 565 44 61,46.1403453,15.085136499999999,"Novi dom 11, 1430 Hrastnik, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=883711303987384661,https://apex-ta.si/
ARBORMEA MEDICAL D.O.O.,Monday: 9:00 AM – 3:00 PM; Tuesday: 9:00 AM – 3:00 PM; Wednesday: 9:00 AM – 3:00 PM; Thursday: 9:00 AM – 3:00 PM; Friday: 9:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 41 424 291,46.0602825,14.515562500000001,"Vilharjev podhod 1, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=15802177482903157096,https://www.arbormea.com/
ARJANA MAČEK d.o.o.,Monday: 1:30 – 9:00 PM; Tuesday: 10:00 AM – 5:30 PM; Wednesday: 7:30 AM – 2:00 PM; Thursday: 7:30 AM – 2:00 PM; Friday: 7:30 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,+386 1 426 04 20,46.044643099999995,14.494815,"Lepi pot 14, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=8335377092663915806,https://pulmologinja.wordpress.com/
ART OPTIKA d.o.o.,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,+386 1 436 44 26,46.062438,14.507582999999999,"Dunajska c. 33, 1000 Ljubljana, Slovenia",store,wheelchairAccessibleEntrance,https://maps.google.com/?cid=18231690810171578043,http://www.artoptika.si/
ARTROS D.O.O.,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,+386 1 518 70 63,46.049470199999995,14.460824800000001,"Tehnološki park 19, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14659268611808394992,http://artros.si/
ATELJE D d.o.o.,Monday: 8:00 AM – 3:00 PM; Tuesday: 8:00 AM – 3:00 PM; Wednesday: 12:00 – 8:00 PM; Thursday: 12:00 – 7:30 PM; Friday: 8:00 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 2 252 75 74,46.5609051,15.628342199999999,"Koroška cesta 113c, 2000 Maribor, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14932239048311548431,
AVELANA d.o.o.,Monday: 7:30 AM – 7:00 PM; Tuesday: 7:30 AM – 5:00 PM; Wednesday: 7:30 AM – 5:00 PM; Thursday: 7:30 AM – 5:00 PM; Friday: 7:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,+386 7 307 51 07,45.835012,15.217417000000001,"Šolska cesta 12, 8222 Otočec, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2739104116854908145,http://www.avelana.si/
AZUR Zdravstveni zavod - Nevrološka ambulanta Lesce,Monday: 12:00 – 7:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 9:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 4 531 69 44,46.3608632,14.158828399999999,"Železniška ulica 5, 4248 Lesce, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11789297178859477228,
Ambrožič - Korošec Andreja - Dejavnost zobozdravstva odraslih,Monday: 1:00 – 8:00 PM; Tuesday: 1:00 – 8:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 3 897 31 60,46.3627095,15.119653200000002,"Cesta bratov Mravljakov 13, 3320 Velenje, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14032024672186273652,
Ambulanta fiziatrija,Monday: 12:30 – 7:30 PM; Tuesday: 7:30 AM – 2:30 PM; Wednesday: 7:30 AM – 2:30 PM; Thursday: 12:00 – 7:00 PM; Friday: 7:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,+386 2 788 59 68,46.420098200000005,15.856096599999997,"Pot v Toplice 9, 2250 Ptuj, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11878690025733798610,https://www.fiziatrija.si/
Ambulanta za ginekologijo in por. ter bolezni dojk Danica Hrvatin dr.med.,Monday: 10:00 AM – 6:30 PM; Tuesday: 7:00 AM – 2:30 PM; Wednesday: Closed; Thursday: 7:00 AM – 2:00 PM; Friday: 7:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 5 726 42 20,45.7721173,14.2104211,"Prečna ulica 2, 6230 Postojna, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11675024450864642126,http://drdanicahrvatin.si/
Ambulanta za oralno kirurgijo - DENIS HASANAGIĆ DR.DENT.MED.SPEC.,Monday: 7:30 AM – 2:00 PM; Tuesday: 7:30 AM – 2:00 PM; Wednesday: 12:00 – 6:30 PM; Thursday: 7:30 AM – 2:00 PM; Friday: 7:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 41 645 225,46.561247400000006,15.6533359,"Cankarjeva ulica 6, 2000 Maribor, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=2983562218194452158,
Ambulanta Čebelica d.o.o.,Monday: 2:30 – 9:00 PM; Tuesday: 11:00 AM – 5:00 PM; Wednesday: 8:00 AM – 1:30 PM; Thursday: 8:00 AM – 1:30 PM; Friday: 8:00 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,+386 2 250 26 33,46.5525307,15.644923799999999,"Pupinova ulica 4, 2000 Maribor, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=7289460117012121009,http://cebelica.net/index.php/storitve
Animula d.o.o.,,+386 838 05090,46.0621973,14.5074779,"Dunajska c. 31, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking,https://maps.google.com/?cid=1994555320904337595,
Anka Perpar - BELI DENT Zobna ordinacija,,,45.938248800000004,14.804655599999998,"Sokolska ulica 5, 1295 Ivančna Gorica, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=15406309926715045432,https://odpiralnicasi.com/spots/beli-dent-zobna-ambulanta-anka-perpar-ivancna-gorica-sokolska-e3f347b4ed
Archimed d.o.o.,Monday: 6:45 AM – 6:00 PM; Tuesday: 6:45 AM – 6:00 PM; Wednesday: 6:45 AM – 2:00 PM; Thursday: 6:45 AM – 2:00 PM; Friday: 6:45 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 2 250 05 16,46.5619419,15.654459699999999,"Razlagova ulica 24, 2000 Maribor, Slovenia",doctor,wheelchairAccessibleRestroom,https://maps.google.com/?cid=559615907763478088,https://www.archimed.si/
Ardens d.o.o.,,+386 1 522 48 99,46.0525409,14.5186779,"Hrvatski trg, 1000 Ljubljana, Slovenia",point_of_interest,wheelchairAccessibleParking,https://maps.google.com/?cid=245694393726131031,http://www.ardens.si/index.php?option=com_content&view=article&id=54&Itemid=54
B.D.D.-DENTAL zobozdravstvena dejavnost d.o.o.,,+386 68 611 790,46.557256599999995,15.6507258,"Ulica kneza Koclja 22, 2000 Maribor, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=10339027890478601525,http://danielov.si/
BARSOS-MC D.O.O.,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: Closed; Sunday: Closed,+386 1 242 07 01,46.0481992,14.500641300000002,"Gregorčičeva ulica 11, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=5892780369098111765,http://barsos.si/
BELI MEDVED D.O.O.-ortodontija,Monday: 12:00 – 8:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 2:00 – 8:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 4 530 90 90,46.349267999999995,14.205312000000001,"Zgornji Otok 8, 4240 Radovljica, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2155144888903463476,http://dental.belimedved.com/
BELI MEDVED d.o.o. Radovljica,Monday: 12:00 – 8:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 2:00 – 8:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 4 530 90 90,46.349267999999995,14.205312000000001,"Zgornji Otok 8, 4240 Radovljica, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2155144888903463476,http://dental.belimedved.com/
BERANIČ STANISLAV - DOKTOR STOMATOLOGIJE,,+386 3 577 50 43,46.3804707,15.295500800000001,"Na gmajni 6, 3205 Vitanje, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=15331209866005578151,
BH AJA D.O.O.,,+386 2 843 14 73,46.39241260000001,15.5726972,"Trg svobode 26, 2310 Slovenska Bistrica, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=12154908912360513454,http://www.zobozdravstvo-bhaja.si/
BIOZOBOZDRAVSTVO D.O.O.,,,46.3452414,14.170346299999999,"Prešernova ulica 8, 4240 Radovljica, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11006143108980819506,
BLAŽ KNEZ DR. DENT. MED. ZOBNA ORDINACIJA,,+386 5 726 48 25,45.772158999999995,14.2103763,"Prečna ulica 2, 6230 Postojna, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=4464789692583630973,
BODENT D.O.O.,Monday: 12:00 – 7:30 PM; Tuesday: 12:00 – 7:30 PM; Wednesday: 7:00 AM – 2:00 PM; Thursday: 7:00 AM – 2:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 31 350 222,46.687371399999996,16.2168319,"Ulica ob igrišču 3, 9226 Moravske Toplice, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11441951793767525886,
BOLNIŠNICA SEŽANA,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,+386 5 707 40 00,45.709305,13.867593,"Cankarjeva ulica 4, 6210 Sežana, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=14893961297016654943,http://www.bolnisnica-sezana.si/
BOLNIŠNICA TOPOLŠICA,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,+386 3 898 77 00,46.4049158,15.0202762,"Topolšica 64, 3326 Topolšica, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=7439861807661832954,http://www.boltop.si/
BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,+386 4 208 28 00,46.2487669,14.354080299999998,"Kidričeva cesta 38a, 4000 Kranj, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=10427394286535414520,https://www.bolnisnica-kranj.si/si/vsebina/24/Kontakti.html
BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,+386 5 700 07 20,45.771580400000005,14.2101864,"Prečna ulica 4, 6230 Postojna, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=11713264816208524367,https://www.bolnisnica-po.si/

BROVET d.o.o.,Monday: 12:00 – 7:30 PM; Tuesday: 8:00 AM – 3:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 7:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 1 426 93 61,46.044808599999996,14.497265899999997,"Groharjeva cesta 11, 1000 Ljubljana, Slovenia",store,,https://maps.google.com/?cid=7891249012196253904,https://www.moja-dejavnost.si/zasebna-ocesna-ambulanta-ljubljana/brovet-doo/MMxzqYX5
Bartolić-Martinez Željka - Zasebna zobna ambulanta,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Closed; Sunday: Closed,+386 2 761 04 73,46.3459423,15.9989861,"Cirkulane 28, 2282 Cirkulane, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=16602621390458460892,
Blaž Kalan dr.dent.med.-Zasebna zobna ordinacija,,+386 41 513 661,46.248897799999995,14.3532602,"Gosposvetska ulica 10, 4000 Kranj, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=3015797047544204675,
Boljka Duša - Zobna ordinacija,Monday: 2:00 – 6:30 PM; Tuesday: 8:30 AM – 12:30 PM; Wednesday: 8:30 AM – 12:30 PM; Thursday: 1:45 – 5:30 PM; Friday: 9:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 31 680 069,46.0481334,14.543548900000001,"Litijska cesta 43, 1000 Ljubljana, Slovenia",dental_clinic,,https://maps.google.com/?cid=4287222189919001797,
Bolnišnica za otroke Šentvid pri Stični,,+386 1 788 74 50,45.9540229,14.835592,"Šentvid pri Stični 44, 1296 Šentvid pri Stični, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=4919820211731199778,https://www.bos-sentvid.si/
Breda JELEN-SOBOČAN - psihiatrična ordinacija,,+386 1 283 23 23,46.0409667,14.5041369,"Ziherlova ulica 38, 1000 Ljubljana, Slovenia",doctor,,https://maps.google.com/?cid=17396818522200072653,
CARDIAL d.o.o.,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 3:00 PM; Friday: 7:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 1 548 40 80,46.056912399999995,14.538216299999998,"Zaloška cesta 69, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=629723850740946646,http://www.cardial.net/
CENTER ZA KOMUNIKACIJO SLUH IN GOVOR PORTOROŽ,,+386 5 617 02 00,45.5161255,13.582967499999999,"Sončna pot 14a, 6320 Portorož, Slovenia",school,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=6574890602552578992,http://www.cksg.si/
CENTER ZA SLUH IN GOVOR MARIBOR,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 3:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 2 228 53 40,46.565315899999995,15.6433688,"2000 Maribor, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=8830916903569107018,http://www.csgm.si/
CHUM - ZIERER VESNA dr.dent.med. - ZOBNA AMBULANTA,"Monday: 7:30 – 10:00 AM, 10:30 AM – 2:30 PM; Tuesday: 12:30 – 3:00 PM, 3:30 – 7:30 PM; Wednesday: 7:30 – 10:00 AM, 10:30 AM – 2:30 PM; Thursday: 12:30 – 3:00 PM, 3:30 – 7:30 PM; Friday: 7:30 – 10:00 AM, 10:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed",+386 2 624 03 20,46.5732134,15.615815800000002,"Vrbanska cesta 97, 2351 Kamnica, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=4865690213705212779,
CIMAN ROBERT - ZOBNA ORDINACIJA,,+386 5 302 81 18,45.958431399999995,13.6462351,"Ulica Gradnikove brigade 7, 5000 Nova Gorica, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=11661835764211892456,
CUSPIS ZOBOZDRAVSTVO D.O.O.,,+386 2 764 00 74,46.3690253,15.902513400000002,"Pošta, Pošta, Videm pri Ptuju 51, 2284 Videm pri Ptuju, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14501241886260218414,
CYCLOPET d.o.o.,,,46.0787605,14.468678200000001,"Martinčeva ulica 30, 1000 Ljubljana, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=9040378664090485407,
Center za aktivno zdravje Zasebna fizioterapija Barbara Klančič dipl.fiziot.,,+386 40 822 787,45.545891999999995,13.7287032,"Ulica pri Velikih vratih 9, 6000 Koper, Slovenia",physiotherapist,wheelchairAccessibleRestroom,https://maps.google.com/?cid=984850969164153797,http://www.fizioterapijabarbara.si/narocanje.html
DANCE-DENT d.o.o.,,+386 1 436 11 77,46.066421399999996,14.511284000000002,"Peričeva ulica 27, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=13961637837538778967,
DEJAN EBENŠPANGER dr.dent.med. - ZOBNA ORDINACIJA,Monday: 12:30 – 7:30 PM; Tuesday: 12:30 – 7:30 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 2 532 15 98,46.66411970000001,16.1682776,"Lendavska ulica 18, 9000 Murska Sobota, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=17665608726996223774,
DEJAN STOJANOV dr.dent.med.zasebni zobozdravnik,Monday: 12:30 – 7:30 PM; Tuesday: 7:00 AM – 1:30 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 12:30 – 7:30 PM; Friday: 7:00 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,+386 1 363 30 70,45.9763145,14.4196729,"Jezero 1, 1352 Preserje, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=10688962260929615770,https://zobar.eu/
DENIS AČKO JARKOVIČ DR.DENT.MED. ZOBNA AMBULANTA,Monday: 12:30 – 7:00 PM; Tuesday: 7:00 AM – 1:30 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 12:30 – 7:00 PM; Friday: 7:00 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 5 664 72 31,45.548766,13.730943700000001,"Dellavallejeva ulica 3, 6000 Koper, Slovenia",dental_clinic,,https://maps.google.com/?cid=225289676850040910,https://www.moja-dejavnost.si/zobna-ambulanta-s-koncesijo-za-odrasle-koper/denis-acko-jarkovic-drdentmed-zobna-ambulanta/MM1q2fy1
