id,name,idProcedure,fullName
225,Biopsija nosne votline in/ali zgornjega žrela,1228,Biopsija nosne votline in/ali zgornjega žrela
229,Biopsija nosnih sinusov,1232,Biopsija nosnih sinusov
222,Biopsija notranjega ušesa,1225,Biopsija notranjega ušesa
404,Biopsija penisa,1407,Biopsija penisa
301,Biopsija periferne arterije,1304,Biopsija periferne arterije
366,Biopsija perirenalnega/perivezikalnega tkiva,1369,Biopsija perirenalnega/perivezikalnega tkiva
265,Biopsija plevre/pljuč,1268,Biopsija plevre/pljuč
171,Biopsija priželjca (timusa),1174,Biopsija priželjca (timusa)
401,Biopsija prostate,1404,Biopsija prostate
356,Biopsija sečevoda,1359,Biopsija sečevoda
364,Biopsija sečnice,1367,Biopsija sečnice
402,Biopsija skrotuma,1405,Biopsija skrotuma
216,Biopsija srednjega ušesa,1219,Biopsija srednjega ušesa
163,Biopsija ščitnice in obščitnice,1166,Biopsija ščitnice in obščitnice
559,Biopsija tankega črevesa,1595,Biopsija tankega črevesa
1135,Biopsija trdih tkiv v dentalni medicini,2220,Biopsija trdih tkiv v dentalni medicini
319,Biopsija trebušne slinavke,1322,Biopsija trebušne slinavke
235,Biopsija ustne votline,1238,Biopsija ustne votline
313,Biopsija vranice,1316,Biopsija vranice
399,"Biopsija vulve, perineja in/ali nožnice",1402,"Biopsija vulve, perineja in/ali nožnice"
206,Biopsija zunanjega ušesa,1209,Biopsija zunanjega ušesa
556,Biopsija želodca,1592,Biopsija želodca
233,Biopsija žlez slinavk in izvodil,1236,Biopsija žlez slinavk in izvodil
318,Biopsija žolčnika in žolčevodov,1321,Biopsija žolčnika in žolčevodov
241,Biopsija žrela,1244,Biopsija žrela
1123,Bitewing-slikanje kron,2208,Bitewing-slikanje kron
2437,Bitewing-slikanje kron - otroci,3177,Bitewing-slikanje kron - otroci
1021,Blokada živca,2101,Blokada živca
1793,Bodylifting,2720,Bodylifting
1395,Bolnišnična obravnava v pedopsihiatriji,2394,Bolnišnična obravnava v pedopsihiatriji
1306,Bolnišnična obravnava v psihiatriji,2393,Bolnišnična obravnava v psihiatriji
583,Bolnišnična obravnava za poklicno rehabilitacijo,1619,Bolnišnična obravnava za poklicno rehabilitacijo
582,Bolnišnična obravnava zaradi oskrbe z medicinsko tehničnimi pripomočki,1618,Bolnišnična obravnava zaradi oskrbe z medicinsko tehničnimi pripomočki
464,Brahiterapija,1467,Brahiterapija
264,Bronhoskopija (vključuje biopsijo ali odstranitev tujka),1267,Bronhoskopija (vključuje biopsijo ali odstranitev tujka)
1969,Bužiranje požiralnika,2747,Bužiranje požiralnika
1763,CB (cone beam) CT,2660,CB (cone beam) CT
2335,CB (cone beam) CT - otroci,3075,CB (cone beam) CT - otroci
2503,Celostna ocena odpovedi prebavil - prva,3222P,Celostna ocena odpovedi prebavil - prva
2530,Celostna rehabilitacija odraslih pacientov s cerebralno paralizo in razvojnimi motnjami,3257,Celostna rehabilitacija odraslih pacientov s cerebralno paralizo in razvojnimi motnjami
2586,Celostna rehabilitacija odraslih pacientov s cerebralno paralizo in razvojnimi motnjami - prvi pregled,3257P,Celostna rehabilitacija odraslih pacientov s cerebralno paralizo in razvojnimi motnjami - prvi pregled
2592,Celostna rehabilitacija oseb s kronično nerakavo bolečino ponovna obravnava - prvi pregled,3307P,Celostna rehabilitacija oseb s kronično nerakavo bolečino ponovna obravnava - prvi pregled
1531,Celostna rehabilitacija oseb s kronično nerakavo bolečino prva obravnava - prvi pregled,2535P,Celostna rehabilitacija oseb s kronično nerakavo bolečino prva obravnava - prvi pregled
1537,Celostna rehabilitacija oseb s sklepnimi in obsklepnimi boleznimi in okvarami - prvi pregled,2538P,Celostna rehabilitacija oseb s sklepnimi in obsklepnimi boleznimi in okvarami - prvi pregled
1512,Celostna rehabilitacija otrok po amputaciji zgornjega uda in otroško protetiko - prvi pregled,2525P,Celostna rehabilitacija otrok po amputaciji zgornjega uda in otroško protetiko - prvi pregled
2588,Celostna rehabilitacija otrok ponovna obravnava - prvi pregled,3305P,Celostna rehabilitacija otrok ponovna obravnava - prvi pregled
1496,Celostna rehabilitacija otrok prva obravnava - prvi pregled,2517P,Celostna rehabilitacija otrok prva obravnava - prvi pregled
1508,Celostna rehabilitacija pacientov po amputaciji spodnjega uda - prvi pregled,2523P,Celostna rehabilitacija pacientov po amputaciji spodnjega uda - prvi pregled
2590,Celostna rehabilitacija pacientov po možganski kapi ponovna obravnava - prvi pregled,3306P,Celostna rehabilitacija pacientov po možganski kapi ponovna obravnava - prvi pregled
1500,Celostna rehabilitacija pacientov po možganski kapi prva obravnava - prvi pregled,2519P,Celostna rehabilitacija pacientov po možganski kapi prva obravnava - prvi pregled
2552,Celostna rehabilitacija pacientov po možganski poškodbi ali drugi možganski okvari  - prvi pregled,3273P,Celostna rehabilitacija pacientov po možganski poškodbi ali drugi možganski okvari  - prvi pregled
1498,"Celostna rehabilitacija pacientov po poškodbi, s perifernimi živčnimi okvarami in revmatskimi obolenji - prvi pregled",2518P,"Celostna rehabilitacija pacientov po poškodbi, s perifernimi živčnimi okvarami in revmatskimi obolenji - prvi pregled"
1506,Celostna rehabilitacija pacientov z mišičnimi in živčno-mišičnimi boleznimi - prvi pregled,2522P,Celostna rehabilitacija pacientov z mišičnimi in živčno-mišičnimi boleznimi - prvi pregled
2554,Celostna rehabilitacija pacientov z MS - prvi pregled,3274P,Celostna rehabilitacija pacientov z MS - prvi pregled
1494,Celostna rehabilitacija pacientov z okvaro hrbtenjače - prvi pregled,2516P,Celostna rehabilitacija pacientov z okvaro hrbtenjače - prvi pregled
1535,Celostna rehabilitacija po športnih poškodbah - prvi pregled,2537P,Celostna rehabilitacija po športnih poškodbah - prvi pregled
1539,Celostna rehabilitacija poškodovancev  - prvi pregled,2539P,Celostna rehabilitacija poškodovancev  - prvi pregled
1543,Celostna rehabilitacija športnikov invalidov - prvi pregled,2541P,Celostna rehabilitacija športnikov invalidov - prvi pregled
1514,Celostna rehabilitacija za paciente po preboleli otroški paralizi (poliomyelitisu) - prvi pregled,2526P,Celostna rehabilitacija za paciente po preboleli otroški paralizi (poliomyelitisu) - prvi pregled
954,Celoten UZ ven spodnjih okončin,1989,Celoten UZ ven spodnjih okončin
2293,Celoten UZ ven spodnjih okončin - otroci,3033,Celoten UZ ven spodnjih okončin - otroci
1417,Celovita  rehabilitacija slepih in slabovidnih - prvi pregled,2555P,Celovita  rehabilitacija slepih in slabovidnih - prvi pregled
549,Celovita geriatrična ocena,1585,Celovita geriatrična ocena
372,Cistektomija,1375,Cistektomija
360,Cistolitotomija,1363,Cistolitotomija
514,Cistometrografija,1517,Cistometrografija
357,Cistoskopija,1360,Cistoskopija
1429,Cistoskopija pri otroku,2563,Cistoskopija pri otroku
2507,C-PAP titracija na domu,3234,C-PAP titracija na domu
664,CT - dentalni,1698,CT - dentalni
2377,CT - dentalni - otroci,3117,CT - dentalni - otroci
685,CT abdomna brez KS - drugo,1719,CT abdomna brez KS - drugo
2398,CT abdomna brez KS - drugo - otroci,3138,CT abdomna brez KS - drugo - otroci
2459,CT artrografija - drugo brez KS - otroci,3199,CT artrografija - drugo brez KS - otroci
674,CT artrografija - drugo s KS,1708,CT artrografija - drugo s KS
2387,CT artrografija - drugo s KS - otroci,3127,CT artrografija - drugo s KS - otroci
2458,CT artrografija rame brez KS - otroci,3198,CT artrografija rame brez KS - otroci
673,CT artrografija rame s KS,1707,CT artrografija rame s KS
2386,CT artrografija rame s KS - otroci,3126,CT artrografija rame s KS - otroci
649,CT cervikalne hrbtenice,1683,CT cervikalne hrbtenice
2365,CT cervikalne hrbtenice - otroci,3105,CT cervikalne hrbtenice - otroci
668,CT cervikalne hrbtenice s KS,1702,CT cervikalne hrbtenice s KS
2381,CT cervikalne hrbtenice s KS - otroci,3121,CT cervikalne hrbtenice s KS - otroci
635,CT glave brez KS,1669,CT glave brez KS
2443,CT glave brez KS - otroci,3183,CT glave brez KS - otroci
642,CT glave s KS,1676,CT glave s KS
2451,CT glave s KS - otroci,3191,CT glave s KS - otroci
659,CT gležnja,1693,CT gležnja
2373,CT gležnja - otroci,3113,CT gležnja - otroci
676,CT hrbtenice z intratekalno aplik. KS,1710,CT hrbtenice z intratekalno aplik. KS
2389,CT hrbtenice z intratekalno aplik. KS - otroci,3129,CT hrbtenice z intratekalno aplik. KS - otroci
1269,CT jeter s KS - 4 faze,2358,CT jeter s KS - 4 faze
2441,CT jeter s KS - 4 faze - otroci,3181,CT jeter s KS - 4 faze - otroci
694,CT jeter s portalnim ojačanjem,1728,CT jeter s portalnim ojačanjem
2406,CT jeter s portalnim ojačanjem - otroci,3146,CT jeter s portalnim ojačanjem - otroci
657,CT kolena,1691,CT kolena
2371,CT kolena - otroci,3111,CT kolena - otroci
654,CT kolkov,1688,CT kolkov
2369,CT kolkov - otroci,3109,CT kolkov - otroci
1244,CT komolca,2357,CT komolca
2440,CT komolca - otroci,3180,CT komolca - otroci
651,CT lumbo-sakralne hrbtenice,1685,CT lumbo-sakralne hrbtenice
2367,CT lumbo-sakralne hrbtenice - otroci,3107,CT lumbo-sakralne hrbtenice - otroci
670,CT lumbo-sakralne hrbtenice s KS,1704,CT lumbo-sakralne hrbtenice s KS
2383,CT lumbo-sakralne hrbtenice s KS - otroci,3123,CT lumbo-sakralne hrbtenice s KS - otroci
683,CT medeničnih organov brez KS,1717,CT medeničnih organov brez KS
2396,CT medeničnih organov brez KS - otroci,3136,CT medeničnih organov brez KS - otroci
693,CT medeničnih organov s KS,1727,CT medeničnih organov s KS
2405,CT medeničnih organov s KS - otroci,3145,CT medeničnih organov s KS - otroci
640,CT obnosnih votlin brez KS,1674,CT obnosnih votlin brez KS
2449,CT obnosnih votlin brez KS - otroci,3189,CT obnosnih votlin brez KS - otroci
645,CT obnosnih votlin s KS,1679,CT obnosnih votlin s KS
2454,CT obnosnih votlin s KS - otroci,3194,CT obnosnih votlin s KS - otroci
639,CT obraznih kosti,1673,CT obraznih kosti
2448,CT obraznih kosti - otroci,3188,CT obraznih kosti - otroci
636,CT orbit brez KS,1670,CT orbit brez KS
2445,CT orbit brez KS - otroci,3185,CT orbit brez KS - otroci
643,CT orbit s KS,1677,CT orbit s KS
2452,CT orbit s KS - otroci,3192,CT orbit s KS - otroci
689,CT ozkega črevesa brez KS,1723,CT ozkega črevesa brez KS
2401,CT ozkega črevesa brez KS - otroci,3141,CT ozkega črevesa brez KS - otroci
697,CT ozkega črevesa s KS,1731,CT ozkega črevesa s KS
2409,CT ozkega črevesa s KS - otroci,3149,CT ozkega črevesa s KS - otroci
665,CT pelvimetrija,1699,CT pelvimetrija
2378,CT pelvimetrija - otroci,3118,CT pelvimetrija - otroci
719,CT perfuzija posameznega organa,1753,CT perfuzija posameznega organa
2431,CT perfuzija posameznega organa - otroci,3171,CT perfuzija posameznega organa - otroci
686,CT pljuč protokol lungcare,1720,CT pljuč protokol lungcare
2399,CT pljuč protokol lungcare - otroci,3139,CT pljuč protokol lungcare - otroci
661,CT po lSR brez KS,1695,CT po lSR brez KS
2374,CT po lSR brez KS - otroci,3114,CT po lSR brez KS - otroci
675,CT po LSR s KS,1709,CT po LSR s KS
2388,CT po LSR s KS - otroci,3128,CT po LSR s KS - otroci
2457,CT po mielografiji brez KS - otroci,3197,CT po mielografiji brez KS - otroci
671,CT po mielografiji s KS,1705,CT po mielografiji s KS
2384,CT po mielografiji s KS - otroci,3124,CT po mielografiji s KS - otroci
720,CT primerjava za skupino CT preiskave,1754,CT primerjava za skupino CT preiskave
2432,CT primerjava za skupino CT preiskave - otroci,3172,CT primerjava za skupino CT preiskave - otroci
684,CT prsnega koša - pljuč HRCT,1718,CT prsnega koša - pljuč HRCT
2397,CT prsnega koša - pljuč HRCT - otroci,3137,CT prsnega koša - pljuč HRCT - otroci
679,CT prsnih organov brez KS,1713,CT prsnih organov brez KS
680,CT prsnih organov brez KS - ostalo,1714,CT prsnih organov brez KS - ostalo
2393,CT prsnih organov brez KS - ostalo - otroci,3133,CT prsnih organov brez KS - ostalo - otroci
2392,CT prsnih organov brez KS - otroci,3132,CT prsnih organov brez KS - otroci
690,CT prsnih organov s KS,1724,CT prsnih organov s KS
2402,CT prsnih organov s KS - otroci,3142,CT prsnih organov s KS - otroci
658,CT rame,1692,CT rame
2372,CT rame - otroci,3112,CT rame - otroci
655,CT SIS (sakroiliakalnega sklepa),1689,CT SIS (sakroiliakalnega sklepa)
2370,CT SIS (sakroiliakalnega sklepa) - otroci,3110,CT SIS (sakroiliakalnega sklepa) - otroci
663,CT skeleta drugo -  brez KS,1697,CT skeleta drugo -  brez KS
2376,CT skeleta drugo -  brez KS - otroci,3116,CT skeleta drugo -  brez KS - otroci
678,CT skeleta drugo  s KS,1712,CT skeleta drugo  s KS
2391,CT skeleta drugo  s KS - otroci,3131,CT skeleta drugo  s KS - otroci
637,CT skeleta glave,1671,CT skeleta glave
2446,CT skeleta glave - otroci,3186,CT skeleta glave - otroci
644,CT skeleta glave  s KS,1678,CT skeleta glave  s KS
2453,CT skeleta glave  s KS - otroci,3193,CT skeleta glave  s KS - otroci
648,CT skeleta hrbtenice,1682,CT skeleta hrbtenice
2364,CT skeleta hrbtenice - otroci,3104,CT skeleta hrbtenice - otroci
667,CT skeleta hrbtenice s KS,1701,CT skeleta hrbtenice s KS
2380,CT skeleta hrbtenice s KS - otroci,3120,CT skeleta hrbtenice s KS - otroci
653,CT skeleta medenice,1687,CT skeleta medenice
2368,CT skeleta medenice - otroci,3108,CT skeleta medenice - otroci
672,CT skeleta medenice s KS,1706,CT skeleta medenice s KS
2385,CT skeleta medenice s KS - otroci,3125,CT skeleta medenice s KS - otroci
647,CT skeleta okončin,1681,CT skeleta okončin
2456,CT skeleta okončin - otroci,3196,CT skeleta okončin - otroci
666,CT skeleta okončin s KS,1700,CT skeleta okončin s KS
2379,CT skeleta okončin s KS - otroci,3119,CT skeleta okončin s KS - otroci
677,CT skeleta sklepov s KS,1711,CT skeleta sklepov s KS
2390,CT skeleta sklepov s KS - otroci,3130,CT skeleta sklepov s KS - otroci
662,CT skeleta sklepov (vsak večji sklep),1696,CT skeleta sklepov (vsak večji sklep)
2375,CT skeleta sklepov (vsak večji sklep) - otroci,3115,CT skeleta sklepov (vsak večji sklep) - otroci
1239,CT srca - prikaz kalcinacij,2359,CT srca - prikaz kalcinacij
2442,CT srca - prikaz kalcinacij - otroci,3182,CT srca - prikaz kalcinacij - otroci
638,CT srednjega ušesa in temporalke,1672,CT srednjega ušesa in temporalke
2447,CT srednjega ušesa in temporalke - otroci,3187,CT srednjega ušesa in temporalke - otroci
688,CT širokega črevesa brez KS,1722,CT širokega črevesa brez KS
2400,CT širokega črevesa brez KS - otroci,3140,CT širokega črevesa brez KS - otroci
696,CT širokega črevesa s KS,1730,CT širokega črevesa s KS
2408,CT širokega črevesa s KS - otroci,3148,CT širokega črevesa s KS - otroci
650,CT torakalne hrbtenice,1684,CT torakalne hrbtenice
2366,CT torakalne hrbtenice - otroci,3106,CT torakalne hrbtenice - otroci
669,CT torakalne hrbtenice s KS,1703,CT torakalne hrbtenice s KS
2382,CT torakalne hrbtenice s KS - otroci,3122,CT torakalne hrbtenice s KS - otroci
681,CT trebušnih organov brez KS,1715,CT trebušnih organov brez KS
2394,CT trebušnih organov brez KS - otroci,3134,CT trebušnih organov brez KS - otroci
691,CT trebušnih organov s KS,1725,CT trebušnih organov s KS
2403,CT trebušnih organov s KS - otroci,3143,CT trebušnih organov s KS - otroci
695,CT urografija - KS,1729,CT urografija - KS
2407,CT urografija - KS - otroci,3147,CT urografija - KS - otroci
2460,CT urografija - otroci,3200,CT urografija - otroci
641,CT vratu brez KS,1675,CT vratu brez KS
2450,CT vratu brez KS - otroci,3190,CT vratu brez KS - otroci
646,CT vratu s KS,1680,CT vratu s KS
2455,CT vratu s KS - otroci,3195,CT vratu s KS - otroci
1261,CT zapestja,2356,CT zapestja
2439,CT zapestja - otroci,3179,CT zapestja - otroci
692,CT zgornjega abdomna  s KS,1726,CT zgornjega abdomna  s KS
2404,CT zgornjega abdomna  s KS - otroci,3144,CT zgornjega abdomna  s KS - otroci
682,CT zgornjega abdomna brez KS,1716,CT zgornjega abdomna brez KS
2395,CT zgornjega abdomna brez KS - otroci,3135,CT zgornjega abdomna brez KS - otroci
699,CTA abdominalne aorte,1733,CTA abdominalne aorte
2411,CTA abdominalne aorte - otroci,3151,CTA abdominalne aorte - otroci
706,CTA aorto- cervikalna,1740,CTA aorto- cervikalna
2418,CTA aorto- cervikalna - otroci,3158,CTA aorto- cervikalna - otroci
703,CTA jeter,1737,CTA jeter
2415,CTA jeter - otroci,3155,CTA jeter - otroci
716,CTA koronarnih arterij,1750,CTA koronarnih arterij
2428,CTA koronarnih arterij - otroci,3168,CTA koronarnih arterij - otroci
704,CTA ledvic,1738,CTA ledvic
2416,CTA ledvic - otroci,3156,CTA ledvic - otroci
709,CTA možganskih arterij,1743,CTA možganskih arterij
2421,CTA možganskih arterij - otroci,3161,CTA možganskih arterij - otroci
707,CTA pelvičnih  a. in a. spodnjih okončin,1741,CTA pelvičnih  a. in a. spodnjih okončin
2419,CTA pelvičnih a. in a. spodnjih okončin - otroci,3159,CTA pelvičnih a. in a. spodnjih okončin - otroci
700,CTA pelvičnih žil,1734,CTA pelvičnih žil
2412,CTA pelvičnih žil - otroci,3152,CTA pelvičnih žil - otroci
702,CTA pljučnih arterij,1736,CTA pljučnih arterij
2414,CTA pljučnih arterij - otroci,3154,CTA pljučnih arterij - otroci
705,CTA selektivne angiografije,1739,CTA selektivne angiografije
2417,CTA selektivne angiografije - otroci,3157,CTA selektivne angiografije - otroci
713,CTA srca  - prikaz kalcinacij,1747,CTA srca  - prikaz kalcinacij
2425,CTA srca  - prikaz kalcinacij - otroci,3165,CTA srca  - prikaz kalcinacij - otroci
715,CTA srca - prikaz funkcije,1749,CTA srca - prikaz funkcije
2427,CTA srca - prikaz funkcije - otroci,3167,CTA srca - prikaz funkcije - otroci
714,CTA srca - prikaz morfoloških struktur,1748,CTA srca - prikaz morfoloških struktur
2426,CTA srca - prikaz morfoloških struktur - otroci,3166,CTA srca - prikaz morfoloških struktur - otroci
698,CTA torakalne aorte,1732,CTA torakalne aorte
2410,CTA torakalne aorte - otroci,3150,CTA torakalne aorte - otroci
708,CTA torakalne in abdominalne aorte,1742,CTA torakalne in abdominalne aorte
2420,CTA torakalne in abdominalne aorte - otroci,3160,CTA torakalne in abdominalne aorte - otroci
712,CTA venografija drugo,1746,CTA venografija drugo
2424,CTA venografija drugo - otroci,3164,CTA venografija drugo - otroci
710,CTA venografija možganov,1744,CTA venografija možganov
2422,CTA venografija možganov - otroci,3162,CTA venografija možganov - otroci
711,CTA venografija vratu,1745,CTA venografija vratu
2423,CTA venografija vratu - otroci,3163,CTA venografija vratu - otroci
701,CTA zgornjih okončin,1735,CTA zgornjih okončin
2413,CTA zgornjih okončin - otroci,3153,CTA zgornjih okončin - otroci
331,Črevesna stoma,1334,Črevesna stoma
1189,Defekografija,2289,Defekografija
2303,Defekografija - otroci,3043,Defekografija - otroci
270,Dekortikacija pljuč,1273,Dekortikacija pljuč
1190,Delovno-terapevtska obravnava nevrološkega bolnika,2305,Delovno-terapevtska obravnava nevrološkega bolnika
2479,Denzitometrična meritev za oceno sestave telesa,3227,Denzitometrična meritev za oceno sestave telesa
17,Dermatološki pregled - prvi,1010P,Dermatološki pregled - prvi
1410,Dermatološki pregled otroka - prvi,2551P,Dermatološki pregled otroka - prvi
1892,Dermatološki pregled v subspecialistični ambulanti za hidradenitis suppurativa - prvi,2664P,Dermatološki pregled v subspecialistični ambulanti za hidradenitis suppurativa - prvi
1556,Dermatološki pregled v subspecialistični ambulanti za limfedeme - prvi,2594P,Dermatološki pregled v subspecialistični ambulanti za limfedeme - prvi
1552,Dermatološki pregled v subspecialistični ambulanti za psoriazo - prvi,2592P,Dermatološki pregled v subspecialistični ambulanti za psoriazo - prvi
1888,Dermatološki pregled v subspecialistični dermatoonkološki ambulanti - prvi,2662P,Dermatološki pregled v subspecialistični dermatoonkološki ambulanti - prvi
1890,Dermatološki pregled v subspecialistični limfomski ambulanti - prvi,2663P,Dermatološki pregled v subspecialistični limfomski ambulanti - prvi
1554,Dermatološki pregled v subspecialistični mikološki ambulanti - prvi,2593P,Dermatološki pregled v subspecialistični mikološki ambulanti - prvi
106,Diabetološki pregled - prvi,1053P,Diabetološki pregled - prvi
947,Diagnostična ali terapevtska punkcija organa z UZ tehnologijo,1982,Diagnostična ali terapevtska punkcija organa z UZ tehnologijo
2288,Diagnostična ali terapevtska punkcija organa z UZ tehnologijo - otroci,3028,Diagnostična ali terapevtska punkcija organa z UZ tehnologijo - otroci
2510,Diagnostična poligrafija na domu,3237,Diagnostična poligrafija na domu
2595,Dializni žilno-kirurški in ultrazvočni pregled,3311,Dializni žilno-kirurški in ultrazvočni pregled
1340,Dinamična scintigrafija jeter in žolčnih vodov (holescintigrafija),2427,Dinamična scintigrafija jeter in žolčnih vodov (holescintigrafija)
1353,Dinamična scintigrafija ledvic,2420,Dinamična scintigrafija ledvic
1387,Določitev očistka z 99mTc-DTPA,2423,Določitev očistka z 99mTc-DTPA
903,Doppler ehografija,1938,Doppler ehografija
2265,Doppler ehografija - otroci,3005,Doppler ehografija - otroci
1562,Doppler možganskega ožilja novorojenčkov,2473,Doppler možganskega ožilja novorojenčkov
1460,Doppler možganskega žilja novorojenčka,2487,Doppler možganskega žilja novorojenčka
2362,Doppler portalnega žilja - otroci,3102,Doppler portalnega žilja - otroci
1488,Doppler UZ ledvic,2512,Doppler UZ ledvic
2328,Doppler UZ ledvic - otroci,3068,Doppler UZ ledvic - otroci
933,Dopplerjeva krivulja ureternih curkov (DKUC),1968,Dopplerjeva krivulja ureternih curkov (DKUC)
2281,Dopplerjeva krivulja ureternih curkov (DKUC) - otroci,3021,Dopplerjeva krivulja ureternih curkov (DKUC) - otroci
945,Dopplerska preiskava z meritvami hitrosti in RI,1980,Dopplerska preiskava z meritvami hitrosti in RI
2286,Dopplerska preiskava z meritvami hitrosti in RI - otroci,3026,Dopplerska preiskava z meritvami hitrosti in RI - otroci
2612,Dostop za dializo/aferezo - AV fistula,3328,Dostop za dializo/aferezo - AV fistula
2611,Dostop za dializo/aferezo - kateter,3327,Dostop za dializo/aferezo - kateter
1216,Druga endokrinološka testiranja,2267,Druga endokrinološka testiranja
866,Druga RTG slikanja skeleta,1900,Druga RTG slikanja skeleta
2253,Druga RTG slikanja skeleta - otroci,2993,Druga RTG slikanja skeleta - otroci
341,Druge abdominalne operacije,1344,Druge abdominalne operacije
498,Druge avdiometrije,1501,Druge avdiometrije
621,"Druge ekscizije kože in podkožnega tkiva (vklj.sinusi, razjede, odstranitev nohtov)",1657,"Druge ekscizije kože in podkožnega tkiva (vklj.sinusi, razjede, odstranitev nohtov)"
1987,Druge ginekološke operacije,2765,Druge ginekološke operacije
1003,Druge histeroskopske operacije,2064,Druge histeroskopske operacije
161,Druge nevrokirurške operacije,1164,Druge nevrokirurške operacije
1286,Druge nuklearno-medicinske aktivnosti,2469,Druge nuklearno-medicinske aktivnosti
375,Druge operacije mehurja,1378,Druge operacije mehurja
305,Druge operacije na arterijah,1308,Druge operacije na arterijah
