Procedure Code,Procedure Name,Facility,Category,Waiting Days
1003P,Pregled dojk in nadaljnja obravnava - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,veryFast,29
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,43
1003P,Pregled dojk in nadaljnja obravnava - prvi,"Ambulanta za ginekologijo in por. ter bolezni dojk Danica Hrvatin, dr.med.",veryFast,57
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,91
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,92
1003P,Pregled dojk in nadaljnja obravnava - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,104
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,0
1004P,Pregled ob neplodnosti -par - prvi,Zdravstveni center Dravlje d.o.o.,regular,0
1004P,Pregled ob neplodnosti -par - prvi,UKC LJUBLJANA GINEKOLOŠKA KLINIKA,regular,0
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,29
1004P,Pregled ob neplodnosti -par - prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,regular,57
1004P,Pregled ob neplodnosti -par - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,104
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,0
1004P,Pregled ob neplodnosti -par - prvi,Zdravstveni center Dravlje d.o.o.,fast,0
1004P,Pregled ob neplodnosti -par - prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,fast,0
1004P,Pregled ob neplodnosti -par - prvi,UKC LJUBLJANA GINEKOLOŠKA KLINIKA,fast,0
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,0
1004P,Pregled ob neplodnosti -par - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,88
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,0
1004P,Pregled ob neplodnosti -par - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,0
1004P,Pregled ob neplodnosti -par - prvi,Zdravstveni center Dravlje d.o.o.,veryFast,0
1004P,Pregled ob neplodnosti -par - prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,veryFast,0
1004P,Pregled ob neplodnosti -par - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,0
1004P,Pregled ob neplodnosti -par - prvi,UKC LJUBLJANA GINEKOLOŠKA KLINIKA,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA BREŽICE,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA JESENICE,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,"GEMINI, Spec.amb. za gin., perin, in ult.diagnost.",regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,regular,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,15
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,regular,15
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,29
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA JESENICE,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,"GEMINI, Spec.amb. za gin., perin, in ult.diagnost.",fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,UKC LJUBLJANA GINEKOLOŠKA KLINIKA,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,fast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,29
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,BOLNIŠNICA ZA ŽENSKE BOLEZNI IN PORODNIŠTVO POSTOJNA,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,"GEMINI, Spec.amb. za gin., perin, in ult.diagnost.",veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA JESENICE,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,veryFast,0
1005P,Ginekološki pregled zaradi patološke nosečnosti- prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,15
1006P,Abdominalni kirurški pregled - prvi,KIRURŠKI CENTER TOŠ D.O.O.,regular,0
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,22
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,regular,29
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,29
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,36
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,43
1006P,Abdominalni kirurški pregled - prvi,iATROS,regular,43
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,61
1006P,Abdominalni kirurški pregled - prvi,Zdrav splet d.o.o.,regular,63
1006P,Abdominalni kirurški pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,regular,74
1006P,Abdominalni kirurški pregled - prvi,KIRURGIJA BITENC,regular,74
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,88
1006P,Abdominalni kirurški pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,regular,88
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,regular,104
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,149
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,regular,165
1006P,Abdominalni kirurški pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,165
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,fast,15
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,22
1006P,Abdominalni kirurški pregled - prvi,KIRURŠKI CENTER TOŠ D.O.O.,fast,29
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,29
1006P,Abdominalni kirurški pregled - prvi,KIRURGIJA BITENC,fast,29
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,29
1006P,Abdominalni kirurški pregled - prvi,Zdrav splet d.o.o.,fast,35
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,36
1006P,Abdominalni kirurški pregled - prvi,iATROS,fast,43
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,57
1006P,Abdominalni kirurški pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,fast,57
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,60
1006P,Abdominalni kirurški pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,fast,74
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,fast,74
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,104
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,104
1006P,Abdominalni kirurški pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,118
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,veryFast,0
1006P,Abdominalni kirurški pregled - prvi,KIRURGIJA BITENC,veryFast,0
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,0
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,0
1006P,Abdominalni kirurški pregled - prvi,Zdrav splet d.o.o.,veryFast,7
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,15
1006P,Abdominalni kirurški pregled - prvi,iATROS,veryFast,15
1006P,Abdominalni kirurški pregled - prvi,KIRURŠKI CENTER TOŠ D.O.O.,veryFast,15
1006P,Abdominalni kirurški pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,veryFast,15
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,veryFast,20
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,22
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,26
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,29
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,32
1006P,Abdominalni kirurški pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,43
1006P,Abdominalni kirurški pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,57
1006P,Abdominalni kirurški pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,veryFast,74
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,25
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,43
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,regular,57
1007P,Proktološki pregled - prvi,Zdrav splet d.o.o.,regular,75
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,82
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,88
1007P,Proktološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,regular,118
1007P,Proktološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",regular,134
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,149
1007P,Proktološki pregled - prvi,iATROS,regular,165
1007P,Proktološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,165
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,165
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,regular,227
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,349
1007P,Proktološki pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,regular,408
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,29
1007P,Proktološki pregled - prvi,Zdrav splet d.o.o.,fast,54
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,57
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,81
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,82
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,89
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,104
1007P,Proktološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,fast,118
1007P,Proktološki pregled - prvi,iATROS,fast,135
1007P,Proktološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,149
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,149
1007P,Proktološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",fast,162
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,fast,165
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,318
1007P,Proktološki pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,fast,408
1007P,Proktološki pregled - prvi,Zdrav splet d.o.o.,veryFast,5
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,15
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,15
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,veryFast,29
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,43
1007P,Proktološki pregled - prvi,iATROS,veryFast,43
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,43
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,46
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,53
1007P,Proktološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,veryFast,74
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,75
1007P,Proktološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",veryFast,99
1007P,Proktološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,104
1007P,Proktološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,149
1007P,Proktološki pregled - prvi,Kirurški sanatorij Rožna dolina d.o.o.,veryFast,380
1009P,Algološki pregled - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,regular,165
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,227
1009P,Algološki pregled - prvi,Zdravstveni zavod Bem,regular,229
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,257
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,257
1009P,Algološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,257
1009P,Algološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,regular,404
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,417
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,regular,592
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,622
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,regular,865
1009P,Algološki pregled - prvi,Zdravstveni zavod Bem,fast,175
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,196
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,196
1009P,Algološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,196
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,196
1009P,Algološki pregled - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,fast,257
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,382
1009P,Algološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,fast,439
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,469
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,fast,561
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,592
1009P,Algološki pregled - prvi,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,veryFast,43
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,118
1009P,Algološki pregled - prvi,Zdravstveni zavod Bem,veryFast,120
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,135
1009P,Algološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,149
1009P,Algološki pregled - prvi,UKC LJUBLJANA KIRURŠKA KLINIKA,veryFast,162
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,165
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,165
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,veryFast,257
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,354
1009P,Algološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,500
1010P,Dermatološki pregled - prvi,"DERMAMED SPECIALISTICNA AMBULANTA LIDIJA PUSTAI-ŠAFARIC, DR.MED., SPEC.DERMATOVENEROLOG",regular,126
1010P,Dermatološki pregled - prvi,"DERMA SAN, d.o.o.",regular,135
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM-OSNOVNO VARSTVO NOVA GORICA,regular,193
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM VELENJE,regular,227
1010P,Dermatološki pregled - prvi,DERMIS Spec. derm. alergološka ambulanta d.o.o.,regular,227
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM AJDOVŠČINA,regular,228
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM MURSKA SOBOTA,regular,237
1010P,Dermatološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,251
1010P,Dermatološki pregled - prvi,"Dermadent, d.o.o. Ljubljana, PE Dermatologija Dermadent",regular,257
1010P,Dermatološki pregled - prvi,Zdravstveni zavod Dermoestetika Izola,regular,258
1010P,Dermatološki pregled - prvi,Dermatovenerologija Natalija Evdakova Bodiroža,regular,288
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM PTUJ,regular,288
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM TRBOVLJE TRBOVLJE,regular,288
1010P,Dermatološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",regular,328
1010P,Dermatološki pregled - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,regular,349
1010P,Dermatološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,regular,349
1010P,Dermatološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,349
1010P,Dermatološki pregled - prvi,FABJAN BEAUTY d.o.o.,regular,349
1010P,Dermatološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,380
1010P,Dermatološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,433
